Province,Pollutant,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ON,NH3,110519.63110678,106799.951320604,105418.737972266,102878.113220141,103764.417198711,109428.905181405,111342.894594109,109043.284612472,108134.153263157,106350.98489760657,106399.51136028446,104775.371852801,111576.55992892517,106392.2800179042,105587.83771730725,101612.7294314406,102643.94682651204,100540.34632964122,90018.3148437233,94051.49307609705,91985.10351120686,89783.24662790581,88248.84333308345,90571.77599987529,87166.91960613981,84773.2951404264,88650.67582987725,87593.71242256698,87464.84544739642,88773.94820957218,91940.16956188958
ON,CO,3269271.42988712,3288745.97140087,3289638.04564869,3326173.15772591,3239036.02112989,3253013.43394121,3172824.39225029,3172562.73411307,3091689.81791663,3068227.6262554536,3104570.9031099486,2742620.8581315875,2628007.797295253,2407115.545967362,2339438.5321228066,2082552.8339548428,1944532.9436192862,1905567.3748188834,1841020.0162951432,1735389.2195626274,1692040.863012221,1516717.5429271786,1333303.2180670707,1347308.1142919557,1316821.8681548387,1301904.2887346398,1262838.610830101,1260940.0232017273,1282041.265185947,1280203.8205470282,1128215.7986825088
ON,SOX,1123223.48280118,1040496.87936647,850087.384795778,747965.706728673,556036.645669507,581346.571754343,599945.194104195,597581.83909303,639968.584420406,576606.5237755369,587488.2261068523,589770.5238487036,598918.3693935213,525611.7812709745,527485.6099768932,500353.81820580066,446972.2992604996,418310.70745775744,365447.40598234616,196195.89559720727,254217.83590626402,260818.3038419436,253780.60960166002,268248.9670797549,255026.08367684408,250508.0184033255,249012.6836241283,175548.36930166202,145351.3765603188,111352.91708671878,112762.00341707267
ON,NOX,602616.544802302,592159.295434953,606058.526112326,595369.984114078,599959.493679771,619114.725280765,634392.409720649,673575.304626051,702958.764529173,726704.6936285967,741406.0288508333,688142.3286549269,657254.9588559697,599712.784925121,562197.282154124,538745.0453593504,484232.3455866296,464193.6635173786,434339.55164288444,383652.5273492953,384467.939911805,358342.29367760726,334876.91527446156,317571.1230044511,291203.3608689679,280828.04631028685,264457.10329242656,269843.2429760107,277779.95817863184,271466.7589484966,229260.22290267915
ON,VOC,852779.352665704,837014.542368464,839444.093446961,854684.670648194,848712.104527491,827717.179727784,815217.142515408,805333.822897765,788659.769422276,790496.7264682065,763149.1799363827,653417.9671848541,636176.5831072411,605578.343667086,594072.4707137287,586758.6632459441,543175.9435433378,529903.4665700393,518308.6353717286,466604.76251676463,462475.21323302935,408032.8642833326,382503.9882723552,379715.78912895307,372597.9023810932,354646.5593622828,338867.57367692445,336784.04285295756,352142.71332500054,347154.5776211452,308194.95906583115
MB,NH3,38047.3103045138,40181.5562691484,41774.5039242114,43219.5541358711,44933.5972465872,47688.5852062419,49703.1898412789,51391.9282514993,53414.1246840866,51170.85914166043,51708.00024614059,51392.41794504378,53829.164945019744,56404.06551229634,58058.27106445188,55415.49126414799,58361.670749780256,58139.11616917103,57285.05354016318,53950.77449772192,55411.523422876446,51792.810902355355,52119.22589770793,57023.54717426679,54506.53899277619,56262.136056388554,57393.87692499508,57233.70401596893,58363.658370399615,59197.97871464723,62579.30676476699
MB,CO,385835.591845711,381827.235153288,378385.286205755,367876.472342666,368519.768193883,372921.37264607,360011.184067182,342651.545405868,330663.027556597,330273.60139712103,323479.9767479759,289213.7669740087,299529.34187779087,301371.9701701736,280882.0023357539,258579.08933985457,245213.10906920454,223685.79089787087,253904.91397152157,201306.67320287388,213354.30579200308,184842.79474168894,184621.082369734,180532.69488319108,176502.95116266314,187493.15108031736,165610.34006156167,158551.77195684653,175415.19851004114,175841.30822345673,168297.51026368298
MB,SOX,509138.983641069,403160.055828105,418284.36050104,400387.85055396,382546.693536874,363942.773902644,363475.302668242,363010.75366499,363205.038340608,362230.1546623117,361692.86075921124,371076.41152759985,380861.5214438,366580.04392353946,383288.93347077724,397171.9901197856,390430.4686320983,397805.0600583623,349219.25794857804,289729.795633791,195732.0878217109,128173.36137152615,139623.69585532806,159393.08061607592,158330.202786777,153601.01634974568,145091.3699963446,119304.97775974058,40253.06972837922,2036.0494274113016,1934.7061127179138
MB,NOX,72575.499647239,67553.4504986966,66834.4039186992,67323.1494239292,70904.853820492,73502.2244790946,72193.0219118398,73438.9717528475,73108.0033153065,74697.6144952411,75624.71754262713,72686.49597803115,71476.83072556187,69481.46752221696,67179.7678688485,66465.3129038366,59596.08749118106,59757.71618138886,61156.24106361297,51443.1341331125,49076.265155012064,48055.3296149968,50955.30835391681,46277.15847771033,45393.56259202256,40743.79730816589,39297.09676831621,40879.0531936511,43003.84924884436,41662.90579090606,38722.51151862305
MB,VOC,96063.6932587365,94911.7642805344,94467.1966338162,92680.3363286771,94458.8455665962,95890.4647261974,95768.2670927393,91510.0314075009,88566.0759500474,89261.8414883807,85976.64669199311,78751.90239585208,78680.9432018662,77944.72558480057,77735.48460516497,81055.381811961,79103.47182060988,74991.72933829157,74713.35611728604,68805.74837061568,70387.46789699658,65376.70512326271,68368.39650126443,68251.02571790903,67358.4219534709,63755.776993964086,61301.114645172805,61764.25127347562,64355.55982619489,63751.36961581039,60968.97021455503
NB,NH3,4594.71677951292,4562.91818368059,4680.08345359203,4605.94942864521,4901.95006282129,5186.89203297368,5046.90492167546,5089.9484814223,5260.28275048259,5212.847125124886,5241.0236525657165,5290.999653627558,5337.07445172883,5583.594990444116,5674.618101856227,5663.548261388308,4772.791176931575,4543.817642839976,4388.618836795378,4221.744013132929,4094.6458026210616,4149.405179905034,4014.0064625930277,3741.6431040494535,3912.373799912854,3759.9587568152792,3916.499164360936,3768.891210774329,3666.7093767029864,3660.2180307636077,3649.8704308285674
NB,CO,316112.672711929,307409.618602214,312825.532824996,312535.818706946,309960.360497155,298111.660875286,299075.921348076,295285.048192406,282290.417302412,277026.195090129,267766.6874282315,249136.10527963119,262544.43721087376,241749.24515186055,240388.17357564348,214054.6882908808,210119.20133269925,203928.6391955406,196183.1829925389,176848.14975429155,183425.05495003372,183898.81801668438,176858.02110787368,165312.21776636856,168031.07973721335,185367.83029759055,174597.86905545794,144053.1631754222,135304.17746888893,125653.49784785637,110068.348905133
NB,SOX,109313.504842129,110056.438067994,114230.050707715,113880.557861492,115683.041156083,116405.976505789,117203.080577593,118975.159133521,119661.107615528,120626.4136104128,122928.64327072879,118678.52649512717,120092.67482876928,110720.85353204946,112785.99952988641,92979.17409172418,60436.00323428326,67454.908897279,46252.63679627466,51097.677294931345,32025.936434446594,27401.80786283801,26011.339403470873,22036.15923551563,22312.455146253345,22958.6997947884,20894.629360027728,20858.526426266064,22209.847969806466,19590.97929139317,12464.550380639332
NB,NOX,78725.0492842005,74449.4628845198,72756.8390047243,69940.4768748223,70306.5808953268,67899.6213030197,71376.1860156218,74847.4350654717,78038.6702290963,83925.7245378701,88730.86081734189,84921.88219047479,83501.0712269914,79852.20766913038,76795.55272286739,70289.64151028657,61366.53003180855,58689.18264221796,52807.6508796174,48719.84210604441,47372.37664529698,48545.78809977774,38997.115390422674,34067.144252654434,31815.18829877725,29655.100743568284,31206.1872353416,28405.157694397272,27771.219372212767,26794.5082908475,23737.029064915623
NB,VOC,82132.9747951239,80675.1116963263,81860.910406052,82289.3915954814,82626.2094850151,80938.1989008094,80181.4954564024,78355.6506392085,73655.9645408789,72226.19458535116,68370.50187668271,60076.5260426364,62410.7412636715,59882.70510514399,59986.77189708205,53964.4163123107,49961.140535169594,49087.75932907562,48691.266728167044,45697.646988010136,47088.01725521535,44542.924752745705,41865.25367513357,39232.74132914988,40151.81841530239,38827.48469879338,33231.19137808768,28728.6981592341,28217.943814127648,26479.740130416994,23965.50653908715
NS,NH3,4863.27143532183,4869.61869781868,4881.46973860153,4836.53656523967,4802.60264693997,4875.3957824134,4890.83616761603,4936.64604666583,4855.29479979817,4773.520996945335,4672.310838895568,4549.786295968746,4522.00478569874,4664.365817617882,4634.4312974320255,4552.2065321595055,4351.342644763634,4224.610000010973,4102.16337257798,3923.0371572430304,3773.5655023055365,3820.886856303571,3734.123910075742,3657.33694676219,3615.4445133321065,3531.1141079604085,3473.1261779504975,3444.455068224079,3553.9920679907227,3480.096009492529,3484.3019490912147
NS,CO,308496.777655717,290043.718832773,295894.008613189,298476.738630165,294119.717189675,290068.21427313,280482.071687272,274817.876936909,261385.838962839,259152.9437614494,267689.380213475,237884.89252825646,229356.4712578136,219309.264235009,207243.2943168725,190488.65814619983,177281.3717220738,174702.9275677172,165246.8336428203,148188.81169778615,139777.48535492245,144131.00552120918,135010.90508667397,136250.4917665324,117593.49416721264,133297.36508409903,126355.5914424632,129933.43316210048,133325.25577741535,122440.59820813734,116101.35871818698
NS,SOX,203152.189724446,201247.821056186,201242.072808068,197334.742093504,201611.558680185,186974.857933717,201050.946129221,194490.762124356,189151.14250043,189050.82530727275,190312.9682252085,184152.1414867565,177321.4692197094,184118.2910078735,183568.08558762664,150102.99061073846,124488.07381961169,126901.0209632231,124540.47945011678,116011.84717316827,75432.19419580903,77317.33287192536,75346.10716705813,77234.4871733884,71781.13997094447,63384.19818908735,64919.06627873924,66632.27048193001,64729.47057985132,52819.356216597065,53271.943007259186
NS,NOX,82882.7751581674,80651.3657729278,82759.1055347035,83771.8156806876,86011.8786404563,86280.9816493425,86220.6044428591,87735.0556655626,87724.3659115603,91534.32700938637,94813.07028662619,94832.23116985145,95840.02710484718,96231.41819857499,94490.0735038002,89864.57754414942,75504.25958811947,70763.70708966386,63129.56888537872,56848.962434389105,55558.7272294391,57431.33306713322,48097.111100847156,46593.23768721299,41731.04803176808,38138.30038282087,36937.073124213784,39944.11302766402,40218.41774155385,39106.6926944727,33829.79038868492
NS,VOC,70235.7677984202,67949.8932218422,69762.9975880046,70367.1550032889,70501.3596683081,70547.2938074358,69152.3170394947,68066.7654768087,64444.8418622225,63473.20672859058,62482.012971774835,54534.68836295126,51815.31837166934,50674.73066832164,50102.50600461768,49287.40680184124,44309.29144255565,44768.01318279486,43057.004698235214,41086.46230489815,39810.39161827055,38680.82232307027,35793.66697450218,35162.3397864887,33235.31323582389,34011.47447129097,31272.567308347498,31325.673186740845,32036.74743395419,30892.15349106558,27927.4974219095
YT,NH3,14.4308522548066,16.720265793873,17.5061414988421,17.752721980229,17.8097997984596,19.3240375939436,18.2411047805927,17.8417492280041,18.5213182079381,21.29381934574415,17.043317143371876,17.31329017146301,17.85948764318371,17.204276096606904,15.10647304991687,20.761685433684917,19.05329984282558,18.988160318118705,18.94491494805382,19.56289952499217,19.673921216864716,20.361249572183972,19.26963316130488,17.706652303170916,12.960466364745256,13.05043121558126,13.7011243604857,13.476191931867524,15.389564352815082,16.664451665946416,14.97808884325058
