,Province,Pollutant,Year,Value,Per Capita,By Capita,Death,Death per Capita
135,SK,NH3,2002,71857.52960054718,997376.75,0.07204652564895579,17761,0.017807714085976038
136,SK,CO,2002,483918.6821718534,997376.75,0.4851914606710587,17761,0.017807714085976038
137,SK,SOX,2002,148372.39879054023,997376.75,0.14876264038693526,17761,0.017807714085976038
138,SK,NOX,2002,177785.00909285876,997376.75,0.17825261025270417,17761,0.017807714085976038
139,SK,VOC,2002,239626.6430176893,997376.75,0.24025689692254135,17761,0.017807714085976038
140,NL,NH3,2002,1088.3995364240634,520141.5,0.0020925066283387565,17761,0.034146477448924954
141,NL,CO,2002,130327.82024772905,520141.5,0.25056224171255137,17761,0.034146477448924954
142,NL,SOX,2002,58204.289553806375,520141.5,0.11190087611506941,17761,0.034146477448924954
143,NL,NOX,2002,59720.14272523672,520141.5,0.1148151853394446,17761,0.034146477448924954
144,NL,VOC,2002,65637.88102292884,520141.5,0.1261923553935397,17761,0.034146477448924954
145,PE,NH3,2002,3453.191659086092,136927.0,0.02521921651015572,17761,0.12971145208760873
146,PE,CO,2002,42152.90376558656,136927.0,0.30784946552240655,17761,0.12971145208760873
147,PE,SOX,2002,2125.359130683079,136927.0,0.01552184105898091,17761,0.12971145208760873
148,PE,NOX,2002,7785.170208508381,136927.0,0.05685635563846707,17761,0.12971145208760873
149,PE,VOC,2002,8121.89501605934,136927.0,0.05931551130207585,17761,0.12971145208760873
150,AB,NH3,2003,131606.19967270968,3176268.75,0.0414342141774715,18472,0.005815628794005545
151,AB,CO,2003,1655205.536513646,3176268.75,0.5211163370585835,18472,0.005815628794005545
152,AB,SOX,2003,467641.8015550517,3176268.75,0.1472299223908719,18472,0.005815628794005545
153,AB,NOX,2003,768416.7428231763,3176268.75,0.24192434686868872,18472,0.005815628794005545
154,AB,VOC,2003,607456.3709643948,3176268.75,0.19124841717641014,18472,0.005815628794005545
155,BC,NH3,2003,23889.17417075541,4121071.75,0.0057968352943030925,18472,0.004482329141685048
156,BC,CO,2003,1453360.9633557766,4121071.75,0.35266577519689546,18472,0.004482329141685048
157,BC,SOX,2003,65659.59900223221,4121071.75,0.01593265125806951,18472,0.004482329141685048
158,BC,NOX,2003,294701.7355356199,4121071.75,0.0715109450680202,18472,0.004482329141685048
159,BC,VOC,2003,289051.3048786525,4121071.75,0.07013983798720624,18472,0.004482329141685048
160,ON,NH3,2003,106392.2800179042,12222239.75,0.0087048104270663,18472,0.0015113432871417859
161,ON,CO,2003,2407115.545967362,12222239.75,0.19694553495952835,18472,0.0015113432871417859
162,ON,SOX,2003,525611.7812709745,12222239.75,0.04300453861338913,18472,0.0015113432871417859
163,ON,NOX,2003,599712.784925121,12222239.75,0.04906733930866648,18472,0.0015113432871417859
164,ON,VOC,2003,605578.343667086,12222239.75,0.049547247972049145,18472,0.0015113432871417859
165,MB,NH3,2003,56404.06551229634,1162089.5,0.04853676546625397,18472,0.01589550546666156
166,MB,CO,2003,301371.9701701736,1162089.5,0.25933628190442615,18472,0.01589550546666156
167,MB,SOX,2003,366580.04392353946,1162089.5,0.3154490630227185,18472,0.01589550546666156
168,MB,NOX,2003,69481.46752221696,1162089.5,0.059790117303544145,18472,0.01589550546666156
169,MB,VOC,2003,77944.72558480057,1162089.5,0.06707291098043702,18472,0.01589550546666156
170,NB,NH3,2003,5583.594990444116,749351.75,0.007451233670227788,18472,0.024650639702916553
171,NB,CO,2003,241749.24515186052,749351.75,0.32261117045747945,18472,0.024650639702916553
172,NB,SOX,2003,110720.85353204946,749351.75,0.14775551472596074,18472,0.024650639702916553
173,NB,NOX,2003,79852.20766913038,749351.75,0.10656171506789752,18472,0.024650639702916553
174,NB,VOC,2003,59882.70510514399,749351.75,0.07991267799820845,18472,0.024650639702916553
175,NS,NH3,2003,4664.365817617882,936954.0,0.004978222855783616,18472,0.019714948652762035
176,NS,CO,2003,219309.264235009,936954.0,0.23406620200672498,18472,0.019714948652762035
177,NS,SOX,2003,184118.2910078735,936954.0,0.1965072895871873,18472,0.019714948652762035
178,NS,NOX,2003,96231.418198575,936954.0,0.10270666243868429,18472,0.019714948652762035
179,NS,VOC,2003,50674.73066832164,936954.0,0.05408454488515086,18472,0.019714948652762035
180,QC,NH3,2003,66670.56911640572,7480688.25,0.008912357645221443,18472,0.0024692915120477048
181,QC,CO,2003,1779960.1024675192,7480688.25,0.23794068713764663,18472,0.0024692915120477048
182,QC,SOX,2003,266079.0425738999,7480688.25,0.03556879175841874,18472,0.0024692915120477048
